Sales Rep ID,Number of Leads Handled,Number of Successful Conversions,Total Sales Value
374,87,32,6301.46
360,95,26,18065.61
318,64,41,17864.26
359,12,25,11248.19
381,78,19,16148.27
381,59,11,7734.34
393,84,19,15265.4
311,89,36,13766.61
377,74,12,10539.48
327,32,19,16185.69
391,99,27,14827.83
383,91,27,15796.75
394,49,50,19889.18
316,72,5,5940.4
322,31,32,5659.81
399,63,5,6375.0
300,45,37,10790.16
378,91,48,11956.86
372,18,25,11163.12
391,92,13,13229.82
329,10,31,11856.17
343,42,50,12893.7
361,90,17,13362.28
334,22,50,12808.92
345,29,7,19419.73
343,61,34,13271.15
332,87,27,9457.95
322,17,48,9300.16
345,26,22,16068.37
370,57,40,11789.22
303,71,25,17103.41
307,56,23,9905.14
321,84,30,9419.36
356,64,19,19882.95
324,76,12,12873.56
379,96,5,15727.51
331,56,11,18637.31
318,99,44,19208.63
362,93,14,9093.87
347,86,48,15909.38
394,56,32,14262.0
389,43,28,17311.46
333,77,9,6797.88
351,31,49,17549.61
342,85,42,17024.23
340,51,22,16059.67
339,43,21,7106.24
311,66,16,8369.92
389,97,26,9053.8
325,85,11,16593.31
382,22,12,8705.64
360,98,50,14257.37
342,72,40,12983.9
375,83,10,11458.28
360,48,41,7616.35
320,86,26,16417.59
321,100,41,18337.3
397,23,37,6481.15
385,78,14,14025.23
363,58,16,10428.06
362,49,26,9592.91
315,13,27,18978.83
348,92,29,12047.67
362,36,15,13948.32
391,34,32,10091.95
301,14,9,7433.35
348,18,43,7805.53
350,88,33,10974.41
335,81,10,12918.47
310,49,18,15307.56
383,84,14,5957.36
319,17,25,10217.75
307,63,29,6448.08
357,75,13,14708.71
320,88,28,11394.77
315,51,31,15906.95
381,93,10,8377.73
384,81,47,6050.02
302,27,45,11958.01
332,73,10,11920.63
341,79,10,15765.77
338,90,30,17821.2
301,85,7,6945.55
342,95,11,17851.75
316,18,43,19642.81
317,56,22,9980.72
384,33,18,9941.79
354,96,16,5226.43
398,26,18,19310.33
314,72,23,14426.18
396,94,8,6876.48
319,99,35,18744.83
323,92,12,15906.81
309,48,43,7972.55
353,59,47,10069.09
384,72,40,6879.28
390,63,37,9716.55
323,31,20,12249.26
396,64,25,14421.86
303,68,18,13565.71
338,98,43,5642.72
311,97,47,17690.33
340,92,12,18480.04
328,43,14,8861.99
332,33,16,11902.46
304,22,15,18099.82
342,73,32,10683.26
335,40,28,17186.61
381,93,14,14882.1
342,56,30,6660.95
313,82,24,11526.09
388,77,29,6367.8
312,30,37,10025.22
348,47,34,11476.75
300,100,38,11067.92
388,75,10,17395.35
329,46,35,14292.44
331,84,38,16787.26
369,69,17,18858.08
363,12,10,7800.98
367,63,13,16966.18
346,27,34,9757.22
386,99,49,11602.27
352,80,46,8472.46
317,42,10,15165.83
364,57,27,14316.49
320,35,22,11538.68
390,55,44,13142.54
339,82,16,6737.83
375,29,37,17742.26
386,77,34,13342.87
378,65,22,9656.89
391,72,42,7534.51
320,86,33,19737.69
335,53,40,13006.27
355,13,5,12861.58
365,16,31,16092.6
388,10,34,19759.34
342,83,8,14837.79
367,97,25,10721.18
366,69,24,17868.62
338,65,27,15400.24
394,26,36,12496.64
334,83,34,19604.2
345,51,23,16918.43
398,31,15,16438.75
360,44,22,10763.72
346,70,5,14183.78
376,83,31,5150.19
324,50,38,14197.14
349,53,50,7118.02
335,90,36,9279.5
388,31,48,6581.34
319,39,41,8043.44
370,77,32,5013.04
329,73,20,10065.54
399,17,26,14127.58
315,16,5,12431.84
370,16,9,12126.63
362,71,30,12765.8
359,52,13,11907.13
340,37,49,17626.18
371,66,18,6902.45
368,85,5,15391.69
372,55,34,10746.17
384,38,34,12534.6
392,33,16,9529.26
351,43,32,5912.53
389,76,31,18448.16
305,32,36,14318.83
364,58,42,7600.45
378,21,50,14353.98
381,63,46,8228.58
356,42,40,17596.54
346,33,34,17138.51
375,34,42,13948.93
384,22,20,17682.12
336,31,32,12039.91
345,61,18,10459.15
307,62,15,7943.29
304,35,28,12255.89
347,26,17,6078.81
388,85,43,8414.68
334,54,36,8299.7
341,81,17,18621.43
397,79,16,9315.77
368,78,44,17038.16
327,71,34,18074.14
364,95,17,6045.79
339,65,50,7533.98
397,60,27,14919.77
331,100,36,13436.36
318,98,37,18895.26
308,62,6,9922.68
388,91,23,16478.67
352,43,10,7151.71
379,64,26,11847.35
348,10,48,14676.73
339,73,22,16079.8
362,49,14,16407.08
320,17,12,8582.74
320,79,29,13398.51
332,42,30,7580.26
399,41,11,10512.42
344,24,46,17657.62
349,48,31,18492.66
352,25,12,7697.98
382,26,48,18820.26
314,97,36,15549.9
386,86,37,6896.22
319,27,50,13101.61
333,59,34,5661.38
377,63,20,8708.07
354,61,28,9599.52
316,19,45,7298.58
360,84,17,10825.73
304,70,20,7807.07
318,68,12,7931.53
363,12,34,6732.72
342,26,19,14065.54
370,36,45,11356.09
396,53,14,19602.98
319,54,48,13292.27
329,89,42,15746.89
341,16,31,8284.81
357,88,31,16957.24
376,38,40,10733.85
385,79,31,18788.14
333,79,37,11690.53
312,84,5,15246.24
391,58,48,7132.92
354,69,22,5827.52
332,79,7,16311.44
327,46,17,7547.08
320,12,16,9416.1
371,86,24,13706.56
339,84,37,9898.0
397,50,48,11925.88
359,39,47,15788.25
389,67,25,6945.31
344,99,13,16156.93
310,10,9,19618.75
364,31,42,16496.41
362,61,25,16531.91
392,86,41,6120.21
372,44,44,11582.4
323,19,28,6934.85
347,81,39,6105.67
356,88,28,10347.29
336,15,10,19714.66
348,63,15,10130.31
357,18,32,12075.23
368,27,31,15281.07
321,33,9,9909.01
353,98,50,15873.67
331,32,7,8436.47
312,26,6,8270.64
364,17,28,15804.59
356,73,41,5224.1
384,35,32,15189.65
386,30,43,19919.18
392,59,11,14110.72
381,35,16,13255.81
356,62,10,16089.3
372,34,47,19352.37
316,23,29,9708.12
388,16,17,12007.13
326,18,48,5490.81
323,73,38,18773.99
357,59,16,15866.56
325,70,35,11510.1
314,97,6,13979.71
312,65,33,13006.26
351,82,30,12862.78
309,77,24,9832.19
353,10,38,11251.26
345,80,49,18652.36
364,51,28,15278.03
357,17,48,9740.02
317,44,44,19905.08
352,88,37,9237.95
316,45,11,12985.73
395,90,47,7714.54
352,64,47,12176.92
303,72,8,7921.99
337,45,20,16491.02
327,68,5,14768.46
361,100,18,6514.51
305,64,26,16103.4
395,96,25,18513.13
324,50,7,11848.81
318,100,16,11472.1
317,52,36,16704.22
327,71,40,14654.44
399,58,39,12204.8
315,37,22,15689.97
351,100,45,14798.49
309,88,11,10067.27
353,93,23,7799.56
353,48,13,7395.22
372,26,30,11526.58
329,51,16,16917.4
300,84,39,7284.8
332,30,36,6669.77
336,84,49,18195.46
387,19,8,18219.64
338,17,25,7861.35
353,34,35,15080.76
364,36,18,10627.23
364,81,20,10620.83
361,10,12,9801.27
351,12,28,12986.54
313,32,44,13510.73
365,31,30,14638.67
300,100,38,9832.48
383,55,23,12767.06
372,73,42,6856.58
380,78,34,6781.47
394,95,17,14805.5
354,92,23,7881.57
303,86,12,7470.0
334,39,27,8569.46
391,83,24,16819.32
301,63,23,7893.2
373,71,18,19657.64
314,99,42,13749.45
356,84,42,11838.45
354,56,20,15382.1
310,88,14,6218.99
360,98,20,14377.1
377,27,22,9194.05
350,51,17,9552.8
327,51,19,13366.77
341,46,11,16785.18
337,24,35,15323.26
352,11,16,10507.67
330,13,6,8833.98
333,58,27,7833.72
322,96,29,6649.66
396,75,33,18965.72
357,44,22,8037.77
378,43,7,5386.26
362,64,9,18531.54
385,51,28,8639.01
322,10,19,5335.26
367,36,31,7345.42
384,67,39,6513.35
357,66,32,15508.92
388,26,32,15784.87
380,82,25,14849.71
389,69,38,19839.17
322,45,39,16481.0
394,94,18,7471.12
342,50,36,8513.32
376,95,18,5487.39
320,70,17,14304.2
339,66,38,7976.42
328,40,17,13691.94
329,44,19,16061.25
327,68,49,13605.84
305,78,22,12832.42
370,30,8,14085.29
353,68,49,7850.64
318,96,38,7005.87
305,44,12,18679.5
396,26,49,16995.09
373,58,30,17899.79
370,61,13,11407.95
369,44,34,17327.16
331,56,5,11838.82
336,25,35,5509.77
381,83,27,15599.63
327,26,29,19393.16
356,93,39,15189.72
353,59,32,18856.48
397,22,37,16458.89
389,39,8,18413.74
303,16,8,8538.9
383,61,33,6763.15
315,71,48,13826.95
393,32,43,16245.55
315,43,21,16146.68
317,31,41,18913.17
382,29,14,16025.64
354,20,39,14115.22
311,83,6,19862.3
336,86,14,18843.92
303,70,29,7196.41
307,82,45,9455.17
386,30,12,14670.92
362,19,44,12527.07
360,95,36,8746.64
394,76,27,9688.04
367,10,33,15029.8
352,16,10,10555.79
310,50,18,5238.37
333,78,23,19239.44
374,31,46,16530.49
302,89,27,13258.34
314,72,26,18578.77
386,58,26,10671.14
393,73,7,19390.31
381,28,24,10352.29
387,24,38,13894.65
338,18,5,18459.62
398,42,33,16157.77
399,89,47,13690.27
399,94,40,19622.03
336,20,27,11407.05
399,55,30,16686.91
326,73,46,15953.44
353,70,30,8464.81
331,51,23,5148.65
377,17,14,9300.24
309,78,19,12309.47
387,81,16,11082.92
339,41,5,6970.33
340,62,26,15928.21
384,62,36,15078.41
356,40,40,11129.81
341,100,10,19305.17
310,79,24,5744.83
375,62,27,19211.08
384,46,38,5271.62
359,13,11,8070.24
300,48,18,13164.38
388,29,47,13407.74
302,34,8,18146.22
317,30,34,16629.99
329,47,30,10367.36
382,41,25,5728.2
390,43,22,13358.18
348,41,8,8282.04
323,44,18,10736.57
330,48,28,14504.15
311,27,36,9675.98
321,23,37,16376.98
318,20,28,12076.98
391,86,30,10528.18
353,13,18,7564.3
366,38,14,7736.78
301,74,40,19011.25
304,60,36,11852.39
395,20,41,8096.8
342,35,40,6055.33
322,50,34,17638.81
350,79,21,15695.26
389,18,18,5015.39
382,39,14,10973.65
348,48,47,16984.09
321,78,8,11711.49
358,14,5,5595.68
312,59,14,17798.54
385,61,10,13821.5
301,11,6,18821.95
303,62,25,5462.86
364,78,44,13425.73
336,16,12,18507.6
312,33,50,12789.76
322,16,43,16897.31
375,79,24,18294.75
315,70,36,15603.73
365,45,8,17016.21
329,27,40,17944.86
317,34,11,16078.16
370,17,13,7833.53
315,17,18,5680.07
390,76,36,17742.32
392,16,20,12371.63
332,88,18,13390.6
347,60,35,11149.16
318,77,43,14625.92
348,35,23,10543.36
338,19,41,13057.82
367,66,20,11013.09
315,68,5,14088.73
394,93,34,19678.09
316,84,29,12277.11
387,46,38,9039.82
369,84,45,15009.85
372,19,20,12839.61
395,41,19,11699.88
375,47,10,14578.54
304,94,17,7380.85
328,84,48,16684.11
374,54,48,8224.01
350,84,48,13418.32
388,47,8,12888.12
364,57,16,7740.14
347,59,48,14136.23
375,34,46,13383.81
370,88,5,7923.74
340,25,13,17149.36
379,27,18,9187.48
350,17,48,8809.13
306,76,13,12640.95
322,59,22,9427.52
319,84,35,12287.39
318,32,14,9229.04
398,33,18,16593.59
375,72,34,18895.79
352,23,19,17804.44
311,95,41,8575.59
365,18,42,14539.95
354,72,8,13893.98
364,82,14,14356.48
396,21,14,14345.02
372,83,23,15220.35
300,37,13,16431.14
334,54,6,19178.92
327,51,9,19078.92
337,61,40,15027.11
336,78,5,18854.31
345,76,10,15783.32
335,25,22,6889.76
311,38,49,6869.58
351,19,49,9478.18
380,14,36,5446.34
370,75,30,7871.13
342,89,16,17323.81
352,28,50,15185.56
305,41,14,14184.34
397,20,26,10929.3
378,87,9,12863.22
390,89,31,17092.67
309,66,33,7432.1
368,26,19,11926.79
332,59,35,11479.49
356,19,36,8449.98
338,100,35,10000.34
321,68,16,9993.7
382,68,34,7778.29
354,97,48,16529.27
355,92,44,11892.82
350,85,13,16620.01
384,93,39,17101.3
316,31,40,7904.05
338,47,32,8187.56
304,10,21,7494.02
327,80,10,18551.06
327,60,7,10878.78
357,18,33,6122.43
358,52,19,12825.52
327,51,34,15323.3
319,93,25,6591.96
386,89,50,15629.92
370,96,12,14119.58
331,72,8,6472.98
365,80,16,8001.25
321,15,36,8551.03
349,30,8,11001.32
353,84,35,6103.08
396,77,19,9608.67
320,21,25,15681.83
372,45,18,19908.2
300,69,21,14373.34
362,52,6,9104.95
348,92,40,12146.83
347,90,25,5819.22
382,85,8,9221.53
352,90,30,17890.0
386,38,42,19003.04
331,63,5,15791.89
338,29,18,7698.46
345,25,38,10300.03
314,92,34,19463.82
346,87,37,7517.44
348,83,20,13035.94
320,67,44,18027.88
352,62,27,9492.12
344,36,36,16290.91
329,47,43,17777.53
396,13,42,9928.95
339,62,26,8228.09
347,28,41,5505.8
304,62,5,10518.03
302,18,22,17589.39
319,72,35,14249.61
325,79,35,10317.85
321,73,7,18755.14
376,20,6,8028.97
343,93,30,12752.25
355,68,14,7819.27
353,11,41,11298.57
355,87,43,18193.73
312,56,11,16456.0
391,71,14,6126.91
328,89,7,15161.44
328,44,33,10499.59
384,81,13,10183.01
383,75,6,13960.25
320,25,7,9097.43
363,49,27,11348.48
397,46,31,17318.22
326,73,17,19901.04
353,57,36,9315.79
399,28,28,15347.93
396,63,14,9401.74
347,79,15,19021.95
317,63,21,15031.28
395,46,25,12104.17
390,68,42,17086.43
399,46,18,7276.91
306,88,36,16867.25
385,50,45,15737.46
317,80,7,14556.58
395,61,26,7528.36
390,45,35,16406.88
387,96,43,14734.06
379,64,22,8265.33
344,96,26,5447.74
335,97,40,7462.9
374,34,44,11899.02
325,15,26,19215.4
374,92,45,16203.28
316,90,43,5527.19
318,98,50,9888.71
328,20,16,12909.37
369,32,39,19591.08
396,36,27,8368.87
329,87,31,12272.73
390,90,42,10144.62
367,28,39,9246.75
369,21,33,19900.66
361,52,16,8496.62
366,50,46,19170.42
303,27,40,11808.06
386,87,38,5295.31
331,18,47,14270.77
362,90,16,13187.03
358,82,30,16973.68
350,41,38,12560.56
311,49,7,5906.98
354,22,12,6242.19
396,41,19,7203.98
395,18,39,11235.83
360,51,15,13565.84
376,55,39,11839.02
333,79,16,16593.1
385,53,25,12883.35
392,46,28,12059.32
307,52,44,7090.95
317,84,13,14979.52
387,12,32,19484.08
308,32,38,8237.96
356,85,6,15067.4
383,69,45,12167.8
324,79,49,19416.85
346,92,44,6569.37
346,37,24,19823.28
343,72,39,13058.22
370,80,35,18266.23
360,38,23,9006.6
305,64,27,17318.49
370,84,21,14989.05
357,85,19,13882.66
328,41,30,6276.4
383,52,11,7949.52
387,59,41,6245.34
310,31,48,8105.76
328,39,39,12037.22
311,69,42,11723.43
354,73,25,7292.73
351,99,47,14050.25
388,89,12,8665.84
303,32,38,10258.73
324,44,49,6099.18
365,76,33,14236.63
308,54,22,19562.88
399,56,30,12863.17
328,21,48,17978.68
399,13,30,15272.28
333,38,19,13759.96
396,79,26,9473.17
356,48,47,11174.4
341,44,10,6620.78
308,97,15,11224.85
355,16,8,18801.79
388,25,24,19410.94
334,62,41,14476.95
378,50,45,7815.48
320,45,26,17170.67
393,59,26,12157.98
368,58,41,9706.72
397,59,25,12040.22
300,15,19,17144.92
382,40,26,16371.74
342,87,38,9633.46
360,28,39,12520.54
323,67,41,15285.24
318,96,23,14714.35
397,32,24,19446.78
314,45,34,16234.82
378,24,34,9799.8
392,10,12,12188.73
313,15,38,16498.83
331,69,8,10555.91
351,56,43,15179.89
377,76,18,14661.41
341,66,46,5455.48
399,81,29,14052.87
301,95,17,15826.48
370,71,13,19626.15
399,49,33,16684.19
390,27,23,14681.48
391,52,46,18633.65
353,59,32,15851.6
326,59,17,7617.74
399,70,45,6672.76
392,37,9,10280.53
321,45,10,11153.32
388,89,43,18442.0
313,73,23,19795.44
330,26,22,19359.26
315,79,26,13541.43
309,57,48,17355.69
328,99,48,16583.29
311,83,5,15320.84
316,47,29,16477.15
352,27,19,17329.88
386,11,5,12315.25
347,61,13,6691.47
368,98,10,9500.33
387,41,50,15309.14
326,31,6,19792.56
346,12,8,10577.24
375,74,29,9910.18
334,88,50,15842.12
366,54,11,12407.53
302,82,42,7363.3
305,12,23,5763.45
378,76,26,7793.96
352,56,26,16666.84
301,53,49,10680.2
374,98,28,10061.18
305,56,14,18581.68
352,95,18,7140.75
364,44,18,14155.08
397,44,27,8017.63
303,68,34,14860.28
313,73,14,7881.52
354,93,25,10195.04
339,34,25,19942.71
352,53,13,18778.38
343,60,12,15353.23
355,22,36,17392.67
346,37,30,7452.98
393,45,25,15290.05
365,49,10,17694.91
333,95,28,15386.92
399,41,46,9631.69
371,57,50,13740.98
399,64,42,14979.06
360,60,30,7390.83
310,42,12,11310.6
305,71,27,9562.43
369,48,20,14684.76
362,98,16,12344.17
304,51,16,6576.76
310,19,7,9325.81
324,78,13,18907.86
332,92,13,15689.61
357,61,42,10426.45
395,17,23,6530.77
356,22,17,6709.5
357,46,29,13518.13
347,10,13,12284.81
394,23,50,11713.31
319,34,19,11689.35
342,13,17,19582.47
360,47,18,18579.29
370,65,47,8842.99
378,36,43,15573.49
375,22,25,16838.77
354,33,40,17613.68
390,62,19,5755.95
304,52,12,18298.71
377,100,24,12998.73
