Customer ID,Support Ticket ID,Issue Category,Resolution Time,Customer Satisfaction Score
13787,48412,billing,47,4
18729,40630,technical,44,3
13084,46389,billing,5,3
10963,45150,billing,48,1
12865,42340,billing,11,3
10929,42278,technical,28,2
17677,40771,billing,6,4
10130,46281,billing,43,4
19614,40986,billing,15,4
13124,46993,technical,30,2
10707,48411,billing,2,2
16146,49393,billing,29,1
17153,46947,billing,35,3
18304,49404,billing,36,2
10659,43023,billing,36,2
13168,49086,technical,34,2
18381,46314,billing,1,5
12940,42193,billing,10,4
14679,49272,technical,27,1
13418,45904,technical,28,2
17201,40773,billing,30,1
18307,48047,billing,13,4
16030,40631,billing,18,4
17890,45875,billing,22,2
18915,42420,technical,37,2
15428,43940,billing,2,5
10849,49871,technical,14,3
12800,45846,billing,31,2
11386,47839,billing,11,5
13826,48651,billing,22,4
13194,45421,technical,13,5
16661,47617,billing,1,4
10964,45651,technical,33,1
10172,47976,technical,10,2
15067,47341,technical,5,5
13142,42230,billing,25,3
15429,43911,technical,4,2
13867,46925,billing,16,2
16732,48343,technical,17,5
11709,47190,billing,6,4
16876,45004,technical,27,2
12578,45682,technical,5,4
10468,41975,billing,44,1
15112,44591,technical,13,1
10870,44706,billing,1,1
17067,48110,technical,15,5
10168,42647,technical,16,4
18894,42145,billing,20,2
11727,42125,billing,34,1
15531,44247,technical,7,1
18587,40700,technical,5,2
15048,46980,technical,46,5
16956,46489,billing,9,1
10246,41351,billing,34,3
19479,43647,billing,4,1
13594,47847,technical,24,1
18370,49942,billing,48,1
15567,45734,billing,16,3
13655,48763,technical,33,1
12133,49050,billing,8,4
12443,47735,billing,2,3
17374,48447,technical,10,3
17401,41924,technical,20,3
13672,43354,technical,41,2
11158,48690,technical,30,4
19413,48062,technical,6,2
19440,48035,billing,16,1
19744,47351,billing,41,4
13189,40320,technical,15,5
14151,48132,billing,37,5
19302,42003,technical,17,4
19159,48796,billing,19,1
16833,45067,technical,45,3
12449,47208,billing,14,3
10291,49004,technical,24,4
16625,44741,technical,29,5
13259,43633,billing,37,3
18455,45994,technical,17,3
17152,42093,technical,38,4
17729,40657,billing,32,5
13693,47460,technical,48,5
15579,49519,technical,26,5
14801,47720,billing,29,3
14580,49355,billing,36,5
14642,47424,billing,33,3
17966,45604,billing,2,5
10692,42572,billing,24,4
11745,44793,billing,9,3
18234,46630,technical,14,1
17729,48742,billing,36,3
16247,41160,billing,23,2
14089,46538,technical,21,4
16308,48606,billing,20,3
10457,40583,billing,41,5
11065,48161,billing,44,1
18455,43116,billing,33,4
11347,47745,technical,22,4
13025,46043,billing,9,1
14041,48031,technical,25,1
15408,48250,technical,1,5
18212,44448,technical,32,1
19778,47920,technical,12,3
19801,42944,technical,26,4
18146,46375,billing,25,2
12274,49436,billing,43,1
11359,41780,technical,24,3
17921,47204,technical,38,2
14252,41756,billing,10,3
13651,40222,technical,7,5
11972,43897,billing,17,4
15305,47663,technical,20,4
14032,42254,technical,26,1
12094,46217,technical,27,3
15269,44292,technical,2,4
14814,45435,billing,9,3
11321,42350,technical,10,3
14270,44704,billing,35,3
18027,40406,billing,5,2
13472,46207,technical,12,2
19458,46087,technical,37,5
14552,45164,billing,7,4
15212,47425,billing,44,2
11497,40319,technical,41,4
16473,41915,billing,2,4
13403,41738,billing,45,2
12794,48029,technical,36,5
11255,42217,technical,27,3
19388,45499,billing,19,4
18701,40296,billing,13,4
15666,41425,billing,16,4
14203,43799,technical,18,5
12603,48044,billing,27,2
15115,47252,billing,29,2
12887,49351,technical,46,1
12931,48070,billing,18,5
11384,44811,technical,34,5
13918,47838,technical,40,5
17193,49026,billing,18,4
10228,43581,billing,37,4
10252,48969,technical,40,4
17389,42395,billing,27,3
12159,46442,billing,4,3
14976,40574,billing,40,2
18944,43940,billing,5,5
15060,46399,technical,37,2
11331,43148,billing,46,2
18541,41073,technical,34,2
18471,48951,technical,44,5
12371,46075,technical,30,4
13964,41989,technical,28,5
14649,41647,billing,12,3
15497,42902,technical,47,4
11249,49289,billing,23,3
16753,42568,technical,4,4
12324,46236,technical,43,1
12649,48588,billing,2,5
17397,48388,billing,6,4
15375,42098,technical,28,4
17982,40678,technical,22,4
10316,41640,billing,5,1
11175,41787,technical,2,1
10346,43206,billing,37,5
14938,42847,technical,42,1
17524,48650,technical,18,2
11667,45591,billing,38,4
13252,46250,billing,44,1
14293,43400,technical,4,4
13557,46891,billing,47,5
18882,43990,billing,41,4
16050,44205,billing,10,5
15192,44411,technical,10,5
19435,43650,technical,14,3
14292,44087,billing,13,1
13054,48163,technical,7,4
18006,44942,billing,14,5
17679,44344,billing,3,4
10259,40104,billing,41,4
13794,48824,billing,18,4
10480,43846,billing,22,4
19549,41577,billing,26,3
18373,49082,technical,41,1
16153,43959,technical,8,1
13925,46266,billing,13,1
19197,43898,billing,5,2
19886,48900,billing,33,1
12679,49557,billing,27,3
14742,49139,technical,14,3
15566,45828,billing,12,4
14357,46069,billing,27,2
15392,44524,technical,42,4
17077,44148,billing,15,4
19535,46490,billing,36,1
13623,43675,technical,7,3
16009,49872,billing,42,3
19802,42958,billing,46,4
13429,41575,technical,16,2
19604,41414,technical,3,3
10215,43168,billing,40,2
18576,40870,technical,17,5
17641,49783,billing,34,4
13009,43083,billing,31,1
10085,45955,billing,2,3
18454,44662,billing,7,3
19525,45215,billing,17,4
18067,43206,technical,17,4
15278,43475,technical,46,1
14457,47880,technical,39,1
11316,40533,billing,26,2
18608,40670,billing,17,2
14251,43899,billing,6,2
17618,41769,technical,31,2
18875,46355,technical,38,2
12125,45095,technical,3,1
11354,41807,technical,34,2
17123,41112,billing,14,1
15283,45982,technical,47,2
10006,46781,technical,19,3
13264,42024,billing,7,1
17029,49423,billing,22,5
12355,45531,technical,48,3
12148,46442,billing,20,3
17689,44185,billing,12,2
15430,49694,billing,5,3
18298,48177,technical,11,5
18007,46590,technical,43,5
11482,49112,technical,13,5
13907,42559,billing,40,1
15553,49001,technical,33,1
16759,40203,technical,27,2
11091,49121,technical,1,3
13864,48037,technical,31,3
13566,47122,billing,2,4
17983,47831,technical,25,1
15982,44018,billing,39,1
14488,48005,billing,19,5
16670,44793,technical,21,3
14259,49627,billing,17,5
17950,42313,billing,12,4
15825,45787,technical,46,2
16311,43497,billing,10,4
17082,47639,technical,27,3
19028,42704,billing,7,5
17766,49621,billing,1,5
19268,41529,billing,27,5
19907,43079,billing,45,2
18852,41976,billing,48,2
13971,45076,technical,16,4
12257,41571,technical,14,1
10821,45510,technical,36,5
12120,48703,billing,42,3
13306,44249,billing,3,5
16514,46604,billing,23,2
14060,45589,technical,3,3
19681,49945,billing,40,1
13665,45055,technical,47,4
13395,48571,billing,38,2
16321,45760,technical,37,3
18091,40000,billing,15,3
11114,43137,technical,36,5
10704,42438,technical,21,4
14178,44351,billing,35,4
19308,44193,technical,39,3
16545,44907,billing,39,1
12731,43174,technical,7,5
13346,48619,billing,37,3
19296,47993,technical,39,4
10956,49352,technical,4,3
11364,49553,technical,32,4
11290,48190,billing,33,4
11818,49261,technical,11,1
18810,41233,technical,8,2
17425,49174,technical,5,4
19196,46913,billing,8,1
18038,41374,technical,24,3
15594,49184,technical,4,3
19184,45176,billing,28,4
12033,44625,billing,2,3
18333,40541,billing,46,2
15314,43426,billing,28,2
16107,48612,billing,29,4
18947,40112,billing,16,5
18695,46165,billing,8,3
11977,47105,billing,44,2
16131,48427,technical,10,5
12357,48742,billing,23,2
11558,47323,billing,18,2
17774,45180,billing,23,4
19628,44278,technical,3,3
17170,46493,billing,32,2
18725,49910,billing,6,4
12688,44530,billing,3,4
10254,49204,billing,12,2
16804,41711,billing,26,1
19213,48014,technical,19,5
12288,46683,billing,3,5
16260,48144,technical,4,1
19087,49514,technical,39,5
14857,41467,billing,29,3
13449,46288,technical,8,4
13707,47403,billing,1,3
19882,40524,billing,27,4
18513,44163,billing,36,1
11560,40205,technical,12,5
11816,41347,technical,26,1
19078,49257,technical,37,2
17675,44184,billing,17,1
11408,43239,technical,40,3
18956,44899,technical,40,5
16412,48382,billing,30,3
11405,43274,technical,37,1
10754,44731,technical,42,2
12446,48803,technical,15,4
11173,47263,technical,26,4
14230,44869,billing,29,3
19795,44501,technical,24,3
18939,41420,billing,4,1
18275,47880,billing,41,1
16487,45421,billing,22,3
10484,44633,billing,12,1
15430,46668,technical,29,1
19871,45403,billing,9,5
14544,40691,technical,36,2
17774,44308,technical,1,4
18754,47724,billing,45,4
19554,41678,technical,15,2
15716,41311,technical,6,1
18107,42553,billing,42,3
17907,41396,technical,4,4
18498,47416,billing,33,3
14854,49082,technical,34,2
19874,41480,technical,42,4
10217,49359,technical,13,1
17018,45408,billing,23,2
13993,40968,billing,16,1
13315,44388,technical,38,4
14612,49617,technical,47,2
18428,48453,billing,13,2
14962,46557,billing,3,2
10352,41081,billing,36,4
13984,48212,billing,26,4
14968,43469,technical,41,1
13042,47443,billing,38,3
12247,49171,billing,21,3
15267,40759,billing,19,1
12586,42063,billing,13,1
