Transaction ID,Product ID,Product Category,Sales Date,Revenue,Customer ID,Customer Age,Location,Industry,Customer Since,Lead ID,Lead Source,Lead Conversion Date,Lead Score,Sales Rep ID,Number of Leads Handled,Number of Successful Conversions,Total Sales Value,Support Ticket ID,Issue Category,Resolution Time,Customer Satisfaction Score
5325,195,cloud storage,2021-08-06 23:54:12,1975.99,12781,41,South America,Technology,2021-05-25 20:08:26,20983,social media,2021-07-30 08:19:25,3,368,42,47,15265.75,43856,billing,18,5
1875,157,CRM software,2020-06-26 13:07:41,1642.59,10196,36,Asia,Finance,2020-03-22 23:28:55,20466,email marketing,2020-04-09 21:11:07,4,392,81,41,14267.86,41366,billing,41,1
6058,196,CRM software,2020-09-21 08:48:40,4586.89,10266,32,Asia,Retail,2020-02-03 18:59:41,20826,social media,2020-05-01 13:57:57,10,322,91,8,16435.32,41027,billing,35,1
9130,185,CRM software,2020-11-15 06:01:26,1579.54,15899,24,Europe,Finance,2020-10-26 00:04:53,20981,social media,2020-11-07 11:59:00,6,346,42,41,15153.87,42122,technical,2,2
6227,112,CRM software,2022-12-30 20:54:08,4773.74,16038,23,Europe,Finance,2020-01-29 16:14:07,23299,email marketing,2022-06-26 23:12:35,3,344,88,43,16947.95,44393,technical,37,5
8721,148,cloud storage,2021-02-27 19:03:20,1644.77,16218,56,Europe,Retail,2020-05-31 06:26:06,28400,email marketing,2020-07-10 21:30:43,6,338,42,18,14387.82,46185,technical,36,2
8565,143,CRM software,2020-08-03 13:44:29,2437.21,15882,52,North America,Technology,2020-07-24 13:17:46,21681,email marketing,2020-07-29 22:42:57,1,333,77,35,18608.9,42476,technical,29,2
5373,127,CRM software,2020-05-07 03:59:49,2741.55,19642,52,North America,Technology,2020-01-03 14:30:16,23831,email marketing,2020-01-05 14:51:57,9,312,84,23,12105.95,44360,billing,39,5
4163,141,cloud storage,2021-03-17 02:00:26,4575.83,19219,26,Europe,Finance,2020-01-15 14:02:19,20572,email marketing,2021-01-08 00:16:12,5,340,50,36,17301.65,40641,billing,17,5
9065,117,CRM software,2022-10-24 08:04:45,4805.61,17257,27,South America,Technology,2021-05-11 00:17:29,24447,email marketing,2022-02-19 10:38:39,1,313,96,7,8237.57,45025,billing,3,1
8969,175,CRM software,2020-09-02 19:51:07,2792.56,10180,63,North America,Healthcare,2020-03-18 03:54:35,28119,email marketing,2020-03-26 21:16:18,4,374,97,19,15896.67,40828,billing,8,3
4167,118,cloud storage,2021-12-26 00:54:45,3858.4,19955,28,Europe,Healthcare,2021-01-04 22:53:58,24979,email marketing,2021-10-21 12:34:04,10,320,54,33,14337.51,42966,technical,25,1
2963,145,cloud storage,2020-06-06 05:24:30,3658.85,10996,36,Asia,Technology,2020-04-27 16:25:02,21988,email marketing,2020-05-06 22:20:11,2,319,28,18,11512.92,41862,billing,5,5
7218,182,cloud storage,2021-02-14 04:14:08,2314.53,16851,22,Europe,Technology,2020-08-06 18:04:13,22635,email marketing,2021-01-31 09:17:19,10,307,87,13,7267.46,48262,technical,10,5
3064,110,cloud storage,2021-12-29 11:01:32,2111.02,17760,48,South America,Finance,2021-04-19 15:33:09,26718,social media,2021-11-05 22:03:11,1,350,24,32,16079.83,42588,technical,17,2
1600,176,CRM software,2020-06-04 21:30:52,3330.79,13911,24,Europe,Finance,2020-02-05 17:03:26,21345,email marketing,2020-03-28 12:16:55,9,317,31,11,10819.13,44645,billing,46,2
3177,147,cloud storage,2021-03-01 01:54:03,4563.08,19684,29,Europe,Retail,2020-03-13 18:02:40,22902,social media,2020-10-07 18:49:03,4,336,66,18,7437.47,45615,billing,27,3
7910,152,CRM software,2021-08-01 00:30:56,4606.87,19185,66,North America,Retail,2020-02-05 17:31:18,29470,email marketing,2020-05-03 04:41:26,7,309,20,39,5880.09,40681,billing,10,1
5630,155,CRM software,2021-04-07 15:20:59,2889.16,17480,30,Europe,Finance,2020-12-11 18:16:45,28429,social media,2021-02-09 08:57:23,2,397,50,36,7971.21,42785,billing,8,5
6262,137,CRM software,2021-12-30 00:14:38,3677.27,16774,20,Asia,Healthcare,2021-08-29 18:04:57,29590,social media,2021-09-20 07:20:04,6,309,27,43,13595.29,48113,billing,33,5
8433,151,CRM software,2022-10-28 00:06:51,1756.84,13830,55,South America,Technology,2021-06-20 22:22:51,21311,email marketing,2021-10-31 13:44:36,6,372,59,12,16910.3,43762,technical,37,4
4708,185,CRM software,2020-09-29 22:47:30,2291.93,10466,43,North America,Healthcare,2020-09-09 11:10:34,29556,email marketing,2020-09-17 01:05:46,6,314,82,16,11497.15,46843,technical,32,1
6196,185,cloud storage,2020-12-23 06:13:24,2731.57,19853,54,Europe,Healthcare,2020-03-21 14:33:59,22923,social media,2020-10-18 09:04:25,5,392,25,44,7800.95,48962,technical,31,5
8826,122,cloud storage,2022-09-05 02:45:58,2248.92,18159,65,North America,Finance,2022-06-22 06:10:32,20308,social media,2022-07-06 14:30:03,9,323,100,26,16475.21,47152,billing,21,1
7364,165,cloud storage,2022-12-25 03:09:50,4016.51,11480,20,Asia,Healthcare,2020-01-18 12:41:59,25943,email marketing,2022-05-21 18:42:45,6,335,95,13,12085.84,40257,technical,47,3
9467,158,cloud storage,2020-07-05 00:18:26,3518.87,10166,20,North America,Technology,2020-06-22 08:54:36,28873,email marketing,2020-06-25 20:39:34,7,369,50,28,16274.75,41130,technical,24,4
4635,185,cloud storage,2020-11-08 21:41:46,1802.23,16756,35,Asia,Technology,2020-05-25 00:45:50,20579,social media,2020-10-31 01:38:22,5,324,31,27,7092.59,45560,billing,23,1
8374,135,CRM software,2022-06-25 10:00:14,1289.64,11086,34,Asia,Technology,2022-01-12 10:59:02,28468,email marketing,2022-02-25 01:16:37,6,322,39,25,5381.37,47614,technical,34,5
9700,106,CRM software,2020-02-28 03:39:24,3107.15,10497,51,North America,Retail,2020-01-31 10:15:36,22095,email marketing,2020-02-24 15:35:51,6,379,25,44,14028.78,49670,billing,31,2
5759,102,CRM software,2020-02-01 19:01:31,2643.95,17991,45,Europe,Finance,2020-01-05 08:15:48,25145,email marketing,2020-01-23 05:59:30,10,339,87,35,18466.67,44823,technical,48,3
4046,136,CRM software,2020-06-03 07:49:50,2660.71,12033,38,Europe,Healthcare,2020-01-16 17:36:52,28767,email marketing,2020-05-27 07:08:16,3,303,82,25,14356.46,40782,billing,41,2
1744,142,CRM software,2021-06-25 13:19:52,3415.6,16312,53,Europe,Technology,2020-04-09 09:59:02,22157,social media,2021-06-03 12:01:02,7,391,71,28,13827.62,43678,technical,11,4
4828,123,CRM software,2021-04-13 17:14:36,1732.67,16868,25,Asia,Technology,2020-11-05 02:45:25,25528,social media,2021-02-01 21:06:58,8,380,51,24,18240.04,43587,billing,10,5
1987,130,CRM software,2022-09-11 18:12:22,3958.85,13827,30,South America,Healthcare,2020-04-24 01:21:33,25970,social media,2021-12-07 16:04:06,8,334,32,28,17461.38,48781,billing,4,4
3569,115,CRM software,2020-08-30 01:42:26,1273.25,19842,56,South America,Technology,2020-01-11 06:12:40,20330,social media,2020-05-29 19:15:30,5,302,72,13,7359.06,48079,technical,5,3
3914,157,CRM software,2020-01-02 16:07:42,4423.14,11517,28,Asia,Retail,2020-01-01 13:41:22,23766,social media,2020-01-02 03:02:54,6,339,90,21,11790.87,43741,billing,39,5
9866,143,CRM software,2021-08-31 15:12:57,2791.37,18585,32,South America,Finance,2020-05-04 10:14:03,29188,social media,2021-03-08 03:40:58,5,328,73,30,11543.96,49642,technical,16,4
3126,191,CRM software,2022-12-29 01:01:44,1167.05,10829,29,Europe,Healthcare,2020-11-18 17:19:03,26081,email marketing,2021-01-31 01:51:32,8,322,100,21,12340.18,49948,technical,18,1
5173,171,CRM software,2020-01-16 22:42:40,1553.15,19467,42,North America,Retail,2020-01-02 06:21:26,29793,social media,2020-01-16 01:17:16,6,352,60,29,12784.19,46939,technical,11,3
8753,103,CRM software,2021-11-14 11:32:38,4210.84,16526,41,South America,Technology,2020-08-10 15:05:40,25270,email marketing,2021-08-10 13:12:15,3,374,86,39,17356.8,42927,technical,33,5
3684,167,cloud storage,2021-05-15 20:18:11,2728.25,15845,33,South America,Healthcare,2020-04-10 06:38:56,26030,email marketing,2021-02-16 17:55:50,3,340,40,33,17474.64,41269,technical,37,3
8722,190,cloud storage,2022-04-25 06:16:47,3058.1,17070,52,South America,Technology,2020-08-05 05:47:28,27812,email marketing,2021-06-14 03:29:29,4,350,76,38,13087.63,43130,billing,36,4
7144,110,CRM software,2021-11-14 14:10:14,3435.37,16194,70,North America,Finance,2020-11-10 04:24:20,23579,email marketing,2021-03-14 17:54:52,8,362,66,30,5726.5,42176,billing,21,2
5779,120,cloud storage,2021-12-18 03:51:51,1127.58,13181,30,South America,Healthcare,2021-04-08 05:59:48,23606,email marketing,2021-08-21 12:40:44,7,319,36,11,8111.87,41846,billing,13,4
5198,178,cloud storage,2020-04-27 09:41:52,1030.57,18253,53,North America,Finance,2020-01-21 03:15:06,22373,social media,2020-04-23 15:50:38,3,302,33,13,16724.23,42466,billing,27,2
5122,136,cloud storage,2022-05-15 21:47:18,3477.46,15310,30,South America,Healthcare,2022-03-03 02:29:05,22976,email marketing,2022-03-31 05:33:51,10,341,16,49,7415.08,41183,billing,46,3
4248,112,CRM software,2022-02-05 05:01:42,2397.41,19492,36,Europe,Technology,2021-06-16 06:59:02,20886,email marketing,2021-08-30 23:43:22,6,339,41,36,19947.03,41592,technical,47,1
6058,145,cloud storage,2021-07-07 14:20:58,3606.17,10763,56,North America,Technology,2020-02-28 12:30:54,23248,social media,2020-12-28 09:54:22,3,389,32,40,18293.99,45180,billing,20,3
3174,117,cloud storage,2021-11-21 03:54:17,3237.35,16484,53,North America,Technology,2020-05-02 05:06:57,20811,social media,2021-04-26 11:55:15,2,310,75,25,18007.5,44808,technical,14,2
2725,137,cloud storage,2020-06-16 23:48:11,2661.5,17409,29,North America,Technology,2020-01-20 12:27:06,28755,social media,2020-05-01 08:39:15,1,339,34,45,13488.09,49432,technical,1,2
5812,182,cloud storage,2022-02-12 15:15:06,4399.4,17944,64,North America,Healthcare,2020-01-20 21:41:05,25375,email marketing,2020-08-07 01:59:07,3,355,22,21,15193.76,48456,billing,14,1
2376,150,cloud storage,2020-06-02 01:40:32,1819.83,14856,25,South America,Technology,2020-04-14 15:31:45,29607,social media,2020-05-22 14:25:19,9,374,61,9,8444.56,49048,billing,46,2
9347,102,CRM software,2022-02-17 08:24:33,3642.71,13444,39,South America,Healthcare,2021-01-05 11:21:25,27904,social media,2021-06-13 05:23:21,3,311,81,50,9823.12,48301,billing,22,4
5857,103,cloud storage,2020-05-04 07:25:07,2507.03,14530,39,Europe,Finance,2020-01-26 18:41:53,21498,email marketing,2020-03-15 13:13:44,10,340,81,28,18171.67,45023,technical,39,4
7020,155,cloud storage,2020-01-23 05:44:41,2795.71,16953,52,North America,Retail,2020-01-09 09:39:02,28709,social media,2020-01-19 18:30:00,3,379,97,9,11446.76,47530,billing,22,1
7331,124,CRM software,2020-12-28 18:44:10,4339.54,14677,55,Europe,Finance,2020-06-01 01:12:46,28932,email marketing,2020-10-30 19:18:45,8,343,76,8,11761.45,41909,billing,48,3
8077,121,cloud storage,2022-01-16 14:50:34,4531.56,15594,34,North America,Healthcare,2021-12-05 07:01:46,25612,email marketing,2021-12-06 20:28:28,2,311,100,47,17935.99,44808,billing,29,5
1501,155,cloud storage,2021-03-04 15:39:33,2158.53,13381,57,North America,Retail,2020-02-23 13:55:24,21065,email marketing,2020-03-18 18:20:29,9,321,31,13,19926.89,40823,technical,37,2
1788,128,CRM software,2022-12-12 21:38:56,3820.75,16282,47,Europe,Technology,2022-09-21 11:42:24,29386,email marketing,2022-10-17 06:49:17,2,384,82,14,10620.31,43147,billing,19,3
5162,175,cloud storage,2020-06-16 01:08:50,4430.34,19969,65,Europe,Retail,2020-05-21 15:38:39,23196,social media,2020-06-01 09:48:07,1,339,99,44,19148.23,45757,technical,34,5
5890,105,cloud storage,2022-02-24 12:28:37,3263.8,10947,41,Europe,Healthcare,2021-06-29 03:41:33,23883,social media,2022-01-26 04:08:13,4,316,97,17,5467.85,49736,billing,25,3
5640,152,cloud storage,2022-04-25 11:47:33,1396.06,13709,29,Europe,Retail,2020-04-28 09:11:44,21066,email marketing,2022-02-22 12:25:14,6,339,68,19,16177.58,42821,billing,43,1
5627,127,CRM software,2021-01-01 08:36:21,1469.18,10876,65,North America,Healthcare,2020-08-14 17:06:57,24394,email marketing,2020-10-07 20:15:11,7,308,12,5,5295.46,48861,technical,10,2
6563,152,cloud storage,2020-10-29 12:00:10,2673.3,15688,53,Europe,Retail,2020-02-12 06:23:08,23678,social media,2020-09-02 10:28:59,1,394,19,48,6845.92,44986,billing,29,5
7185,169,cloud storage,2020-10-22 07:50:20,1482.84,15231,59,Europe,Healthcare,2020-04-26 08:50:56,21478,email marketing,2020-06-16 12:54:43,1,346,76,41,12850.3,45460,technical,21,1
2660,171,cloud storage,2020-11-07 13:28:18,3523.52,10729,45,South America,Healthcare,2020-06-07 12:19:00,29268,email marketing,2020-10-01 18:26:28,10,304,41,23,12232.28,42618,billing,30,2
3226,174,CRM software,2021-01-28 23:25:23,2823.91,13296,30,Europe,Finance,2020-11-12 19:29:13,21201,email marketing,2021-01-20 06:25:27,8,304,75,30,19769.03,48382,billing,29,1
2362,179,CRM software,2022-03-16 00:48:37,1001.9,17707,24,Europe,Finance,2021-09-28 20:30:20,28313,email marketing,2022-01-25 13:00:31,4,361,82,35,12163.77,44085,billing,45,3
9633,161,CRM software,2020-02-05 23:00:28,2902.54,15814,37,South America,Finance,2020-01-29 16:33:35,27866,email marketing,2020-02-01 12:05:32,1,343,29,40,13724.99,40426,technical,24,1
4606,111,CRM software,2020-07-22 20:34:49,3415.21,17534,48,Europe,Finance,2020-05-12 15:47:13,26369,email marketing,2020-07-01 11:23:53,8,329,37,15,16914.69,49005,technical,16,2
9444,166,CRM software,2021-08-13 03:49:34,1291.65,13716,68,South America,Healthcare,2020-09-25 18:07:20,25489,email marketing,2020-11-15 15:13:50,10,383,25,20,16802.03,40809,billing,37,4
7991,191,CRM software,2020-08-07 07:16:37,2035.11,11799,60,Europe,Retail,2020-01-23 21:33:21,28411,email marketing,2020-07-26 00:39:27,7,327,70,10,10487.99,48023,technical,23,5
2563,113,CRM software,2020-10-29 03:21:30,3994.21,12444,60,North America,Retail,2020-01-01 12:58:07,24345,email marketing,2020-06-16 21:30:12,8,373,13,44,8425.67,41365,technical,44,4
2336,164,CRM software,2021-09-20 06:16:50,1872.96,11007,52,Europe,Retail,2020-09-14 08:10:12,27613,social media,2021-05-20 13:42:13,4,393,67,28,12627.62,48148,billing,27,3
9471,166,cloud storage,2021-05-19 14:18:51,4151.85,11096,40,Europe,Finance,2020-10-26 06:24:15,27276,social media,2020-11-04 05:22:51,10,320,63,44,18023.86,43301,billing,1,2
2192,199,cloud storage,2020-08-15 20:09:15,3961.37,17766,48,Europe,Technology,2020-05-25 19:08:35,21663,social media,2020-07-04 17:56:20,7,342,55,21,15264.78,49323,technical,40,1
3420,136,CRM software,2022-03-23 01:42:42,2913.73,19236,29,Asia,Technology,2020-07-11 06:17:32,27074,social media,2021-12-06 00:52:37,2,394,64,39,10709.03,47084,billing,44,1
7856,156,cloud storage,2022-12-07 11:31:05,4102.73,19829,64,North America,Healthcare,2021-11-26 02:09:12,27823,email marketing,2022-04-24 13:14:11,6,367,57,9,10580.88,44701,billing,24,4
6865,179,CRM software,2022-12-01 18:41:43,2834.47,11360,26,North America,Healthcare,2021-11-28 17:04:36,20994,social media,2022-03-04 19:26:55,7,348,91,47,15323.19,41885,technical,32,2
6386,161,cloud storage,2020-10-11 03:51:40,2895.63,14547,65,Asia,Retail,2020-09-28 03:50:21,22118,email marketing,2020-10-04 01:48:39,6,325,83,6,15032.34,40508,billing,38,2
1551,166,CRM software,2021-11-19 19:59:05,4205.72,18916,53,Europe,Retail,2020-05-14 05:56:16,26551,social media,2021-08-28 02:30:56,8,389,23,24,13984.66,48511,billing,34,1
9892,180,cloud storage,2021-12-25 18:03:04,4142.76,17400,62,Asia,Technology,2021-12-25 05:18:10,28792,social media,2021-12-25 08:35:47,10,331,41,29,14443.83,46125,billing,45,4
8873,139,CRM software,2022-12-27 06:01:02,2604.62,19021,50,South America,Healthcare,2020-03-23 11:39:42,22859,social media,2021-06-26 16:37:33,4,327,29,46,18974.54,43525,billing,43,5
5310,179,cloud storage,2020-01-24 14:43:20,4267.36,10965,45,North America,Finance,2020-01-11 01:02:50,22642,email marketing,2020-01-14 05:00:05,1,388,72,22,19888.34,41509,billing,2,4
7214,140,cloud storage,2020-10-17 08:46:02,1156.89,16827,63,Asia,Retail,2020-01-21 14:57:46,21934,email marketing,2020-09-23 19:45:57,9,359,48,32,19448.33,42070,technical,23,1
7311,186,cloud storage,2021-08-08 03:57:03,3934.99,10402,36,Europe,Technology,2020-10-02 03:46:02,24026,email marketing,2021-03-10 14:10:01,6,324,75,45,8232.96,42441,technical,35,3
2630,187,CRM software,2022-12-01 22:33:30,2744.98,11799,54,North America,Retail,2021-12-26 05:29:50,22305,email marketing,2022-06-30 16:20:24,9,346,95,22,9924.38,42075,billing,19,2
1932,176,CRM software,2022-10-17 08:58:52,2052.46,17725,27,Asia,Retail,2021-06-26 07:14:19,27439,email marketing,2021-07-11 08:54:40,4,361,21,27,15254.26,47383,billing,12,2
1375,147,cloud storage,2020-01-08 03:10:47,1872.6,15598,47,Europe,Finance,2020-01-06 13:37:33,28186,email marketing,2020-01-06 22:36:24,1,356,47,22,18066.33,49993,technical,1,2
6346,125,CRM software,2020-04-08 20:53:46,3134.51,12914,36,Europe,Finance,2020-03-16 20:11:43,25098,social media,2020-03-19 15:32:18,10,334,57,21,18428.69,46297,billing,28,3
6664,171,cloud storage,2021-02-01 22:07:50,2591.41,14253,57,Europe,Finance,2020-10-06 18:44:23,26624,email marketing,2020-10-21 18:51:24,1,385,71,8,11503.13,44312,technical,17,3
2299,114,CRM software,2022-01-16 17:59:58,4748.73,11926,33,Asia,Healthcare,2020-11-30 18:07:32,23417,social media,2021-09-10 15:33:10,6,305,71,13,5761.93,48936,technical,44,5
9036,131,cloud storage,2022-11-09 12:23:26,1119.02,11172,56,Asia,Finance,2021-06-29 05:44:58,26695,social media,2022-07-10 03:49:05,7,311,21,11,17720.73,47294,technical,2,1
5101,135,CRM software,2021-02-19 13:44:59,1106.37,18685,37,North America,Retail,2020-12-02 11:53:07,26259,email marketing,2020-12-14 13:56:49,9,385,53,7,15862.52,44867,billing,24,1
7070,197,CRM software,2022-09-21 11:16:08,4994.41,14322,40,Asia,Technology,2021-01-04 00:01:37,20682,email marketing,2022-05-05 22:16:11,7,312,88,12,9377.45,49676,technical,11,3
7151,115,CRM software,2020-09-12 03:07:02,4232.08,14679,39,North America,Technology,2020-04-25 23:57:58,27255,email marketing,2020-07-11 00:50:32,3,312,56,26,8612.56,45767,billing,39,4
9819,130,CRM software,2022-07-16 22:03:13,4337.0,14558,45,Asia,Retail,2022-02-27 10:07:10,20159,social media,2022-05-21 04:07:52,6,312,14,41,6136.59,48099,billing,33,4
5405,193,CRM software,2020-05-03 03:32:32,3547.34,12173,60,South America,Finance,2020-03-31 00:31:42,21847,social media,2020-04-19 23:31:07,6,365,87,18,16052.65,41599,billing,24,5
6144,143,cloud storage,2020-09-02 22:47:07,1134.22,17622,35,North America,Retail,2020-07-22 08:16:02,21853,social media,2020-07-27 23:41:35,4,317,56,48,19816.24,45858,technical,1,4
9950,143,CRM software,2020-10-01 19:39:14,4657.89,15155,69,South America,Retail,2020-04-10 03:50:52,25838,email marketing,2020-09-23 23:32:02,6,360,42,46,18832.43,41874,billing,39,1
8236,161,cloud storage,2021-03-24 14:07:31,4547.32,10800,28,Asia,Technology,2020-08-25 10:35:33,24688,email marketing,2020-10-13 00:46:31,1,339,71,35,9441.06,41788,technical,9,4
5908,167,cloud storage,2021-09-22 18:35:06,4628.73,14304,30,South America,Technology,2021-05-07 19:35:25,22024,email marketing,2021-07-23 01:39:33,2,351,33,5,15472.54,40650,billing,7,4
9968,121,cloud storage,2022-06-12 17:50:16,2239.7,13188,33,Europe,Finance,2022-04-25 23:42:53,27758,social media,2022-04-29 15:03:12,8,313,13,46,19983.9,43172,technical,45,2
6641,151,cloud storage,2021-07-16 20:14:22,2606.88,19531,54,Europe,Technology,2020-02-27 02:53:30,29722,email marketing,2021-01-27 07:13:26,5,337,90,44,17489.74,45493,technical,35,2
1869,189,CRM software,2022-09-21 16:28:26,2494.45,13802,52,Europe,Retail,2021-10-07 05:29:54,20913,social media,2022-01-23 17:23:58,5,356,13,28,13738.72,48401,technical,45,5
3303,186,cloud storage,2020-06-28 01:58:39,4862.01,10548,22,South America,Retail,2020-05-30 06:43:24,24294,email marketing,2020-06-24 01:47:40,4,325,62,35,7078.12,41826,billing,46,5
6813,199,CRM software,2021-09-29 06:20:21,3902.16,18566,27,Asia,Healthcare,2020-05-11 19:48:15,28323,social media,2020-12-28 14:17:04,1,358,86,22,11862.83,43738,technical,37,3
3668,147,cloud storage,2020-02-29 02:23:33,1843.01,15536,20,Europe,Technology,2020-02-14 13:30:19,29610,social media,2020-02-15 05:02:14,5,328,66,28,6717.57,43168,billing,48,3
1909,197,cloud storage,2020-03-16 07:06:00,4416.86,19953,52,North America,Healthcare,2020-02-20 06:48:16,26200,social media,2020-02-22 02:37:02,4,306,44,19,14391.42,47501,billing,35,2
1513,122,cloud storage,2020-03-10 01:29:40,1383.57,11106,36,Asia,Technology,2020-01-02 09:51:05,24226,social media,2020-02-27 12:35:12,3,306,15,16,12471.92,41781,billing,29,5
7700,136,cloud storage,2020-12-04 17:39:12,1251.05,16848,65,Asia,Retail,2020-04-24 01:45:21,23166,social media,2020-08-24 09:21:29,4,373,64,44,15433.5,42359,technical,3,2
3073,114,CRM software,2020-12-12 11:59:33,4367.11,11489,66,South America,Healthcare,2020-06-10 23:48:30,23512,email marketing,2020-10-05 08:20:26,9,323,15,7,18691.16,49180,technical,26,3
1406,189,cloud storage,2020-01-04 00:47:37,3523.95,12259,23,North America,Retail,2020-01-02 12:11:48,21565,email marketing,2020-01-02 17:05:04,5,374,66,50,15675.05,47506,billing,7,5
3343,177,cloud storage,2021-06-19 15:14:51,1705.92,16279,26,Europe,Technology,2020-04-10 15:59:03,29260,social media,2020-05-10 11:28:55,5,392,56,6,5192.0,40267,technical,6,1
3789,141,CRM software,2020-10-06 16:34:42,2575.85,15195,68,North America,Finance,2020-04-15 15:04:02,20881,email marketing,2020-05-15 03:15:44,3,306,83,18,8850.98,44013,technical,27,4
6782,158,CRM software,2022-05-24 09:27:20,1533.39,12137,69,Europe,Healthcare,2020-06-01 23:20:07,21607,social media,2021-06-29 23:12:37,3,345,50,42,14283.1,41309,technical,36,4
2556,191,CRM software,2020-05-21 02:42:06,3156.67,14877,44,Asia,Healthcare,2020-03-06 12:42:42,21022,social media,2020-04-04 14:25:33,9,365,50,15,5803.51,45892,technical,31,2
8253,130,cloud storage,2022-01-31 08:45:58,4841.26,15290,34,South America,Retail,2020-08-29 07:37:44,22667,social media,2021-02-13 01:41:00,1,327,78,50,17908.75,44299,billing,43,4
3829,138,CRM software,2020-12-23 11:21:59,4684.32,12559,52,Asia,Technology,2020-02-15 06:08:31,20153,email marketing,2020-06-08 05:43:49,8,384,14,31,10634.72,44343,technical,38,4
4620,150,cloud storage,2022-02-06 05:35:11,3745.32,17368,22,North America,Technology,2021-04-18 21:31:48,29152,social media,2021-08-21 13:55:30,5,331,23,38,7756.27,47730,billing,36,1
5023,115,cloud storage,2022-09-07 20:40:46,3512.19,19935,44,Asia,Finance,2021-09-21 04:11:43,22114,social media,2021-11-09 10:26:42,7,324,28,8,8044.97,45236,billing,12,1
8543,148,CRM software,2021-01-05 23:53:14,1598.67,19373,60,Europe,Healthcare,2020-03-25 11:49:13,22149,social media,2020-07-14 06:42:46,7,320,81,36,17266.9,44989,billing,43,3
4440,108,cloud storage,2022-02-01 08:34:46,3932.32,11464,40,Asia,Technology,2020-12-05 20:45:40,25739,email marketing,2021-12-03 09:51:00,7,329,97,26,7467.0,47661,technical,44,5
4090,113,CRM software,2020-12-29 02:47:57,4517.21,12578,29,South America,Technology,2020-12-26 09:00:50,21296,email marketing,2020-12-27 03:04:12,6,303,95,20,6311.95,41730,billing,23,1
